StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID1_4_TEXT,Q38,Q2,Q2_18_TEXT,Q3,Q3_8_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q40,Q15,Q15_8_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_9_TEXT,Q17,Q17_10_TEXT,Q19,Q25,Q24,Q46,Q55,Q23,Q22,Q21,Q20,Q28,Q27,Q29,Q47,Q47_12_TEXT,Q30,Q33,Q34,Q34_7_TEXT,Q35,Q35_7_TEXT,Q36,Q36_7_TEXT,Q37,Q37_7_TEXT,Q50,Q50_7_TEXT,Q56,Q56_7_TEXT,Q53,Q52
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which of these choices best describes you? - Selected Choice,Which of these choices best describes you? - Other (please specify) - Text,In which year did you begin your current program,What degree program(s) are you (or your students typically) in? - Selected Choice,What degree program(s) are you (or your students typically) in? - Other (please specify - Text,Which of the following best describes your current career plan (or that which is typical of your students)? (choose up to 3) - Selected Choice,Which of the following best describes your current career plan (or that which is typical of your students)? (choose up to 3) - Other (please specify) - Text,How important do you think quantitative/computational skills will be for you (or your students) to get that job?,Which quantitative methods are important for you (or your students) to get this job and/or to be successful in graduate research? (choose all that apply),Please rate your (or your students) current competence in data management,Please rate your (or your students) current competence in regression analyses,Please rate your (or your students) current competence in machine learning,Please rate your (or your students) current competence in data simulation,Please rate your (or your students) current competence in process modeling e.g. hydrologic processes,Please rate your (or your students) current competence in agent-based modeling/computer simulation,Please rate your (or your students) current competence in closed-form mathematical modeling,Please rate your (or your students) current competence in structural equation modeling,"In your opinion, which of the following are the most important quantities for you (or your students) to be able to estimate? (choose up to 3) - Selected Choice","In your opinion, which of the following are the most important quantities for you (or your students) to be able to estimate? (choose up to 3) - Other (please specify) - Text","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - The relationship between experimental design and statistical analysis","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Principles of frequentist inference","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Principles of Bayesian inference","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Evaluating model performance","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Effective communication of statistical methods and results","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Modeling strategies for complex adaptive systems (e.g. feedbacks, time lags & thresholds)","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Causal inference","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Principles of machine learning","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Other (please specify)","In your opinion, which of the following concepts are more or less important for you (or your students) to understand? (please rank:1 is most important, 9 is least important) - Other (please specify) - Text",Which of the following software do you (or your students) typically use? (choose all that apply) - Selected Choice,Which of the following software do you (or your students) typically use? (choose all that apply) - Other (please specify) - Text,How would you rate the current level of training you (or your students) have received in R?,How would you rate the current level of training you (or your students) have received in Python?,How would you rate the current level of training you (or your students) have received in STAN?,How would you rate the current level of training you (or your students) have received in BUGS/JAGS?,How would you rate the current level of training you (or your students) have received in NIMBLE?,How would you rate the current level of training you (or your students) have received in JAVA?,How would you rate the current level of training you (or your students) have received in Julia?,How would you rate the current level of training you (or your students) have received in NetLogo?,How would you rate the current level of training you (or your students) have received in ArcGIS?,How would you rate the current level of training you (or your students) have received in QGIS?,How would you rate the current level of training you (or your students) have received in Google Earth Engine?,How would you (or your students) prefer to gain additional skills using the software/coding tools referenced previously? (choose up to 2),Which of the following software would you (or your students) be interested in attending a 'bootcamp-style' short course to learn? (choose all that apply) - Selected Choice,Which of the following software would you (or your students) be interested in attending a 'bootcamp-style' short course to learn? (choose all that apply) - Other (please specify) - Text,Which of the following best describes the types of computational problems you (or your students) typically encounter? (choose all that apply),Which of these 'community-style' resources do you regularly use (i.e. this is one of your 'first stops' when seeking help) (choose all that apply),Why do you NOT regularly attend the R Users' Group? (choose all that apply) - Selected Choice,Why do you NOT regularly attend the R Users' Group? (choose all that apply) - Some other reason (please specify) - Text,Why do you NOT regularly attend the Stats Hour? (choose all that apply) - Selected Choice,Why do you NOT regularly attend the Stats Hour? (choose all that apply) - Some other reason (please specify) - Text,Why do you NOT regularly use the EcoStatsBSU Slack channel? (choose all that apply) - Selected Choice,Why do you NOT regularly use the EcoStatsBSU Slack channel? (choose all that apply) - Some other reason (please specify) - Text,Why do you NOT regularly attend the Time Series & Remote Sensing group (TSARS)? (choose all that apply) - Selected Choice,Why do you NOT regularly attend the Time Series & Remote Sensing group (TSARS)? (choose all that apply) - Some other reason (please specify) - Text,Why do you NOT regularly attend the 1:1 R help sessions provided by the Biology department? (choose all that apply) - Selected Choice,Why do you NOT regularly attend the 1:1 R help sessions provided by the Biology department? (choose all that apply) - Some other reason (please specify) - Text,Why do you NOT regularly attend the EcoStats Summer reading group? (choose all that apply) - Selected Choice,Why do you NOT regularly attend the EcoStats Summer reading group? (choose all that apply) - Some other reason (please specify) - Text,In what ways do you feel the statistical and/or computational resources provided by Boise State currently work well to support your (or your students) learning and career goals.,In what ways do you feel the statistical and/or computational resources provided by Boise State could be improved to support your (or your students) learning and career goals.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_18_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID40""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_9_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_10_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24""}","{""ImportId"":""QID46""}","{""ImportId"":""QID55""}","{""ImportId"":""QID23""}","{""ImportId"":""QID22""}","{""ImportId"":""QID21""}","{""ImportId"":""QID20""}","{""ImportId"":""QID28""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_12_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_7_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_7_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_7_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_7_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_7_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_7_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID52_TEXT""}"
2022-04-10 08:45:36,2022-04-10 08:46:28,Survey Preview,,100,51,True,2022-04-10 08:46:29,R_3oXggldJKGBnHYz,,,,,51.368804931640625,12.3311004638671875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time Series & Remote Sensing group (TSARS),I forget,,,,,,I personally do not find this type of resource helpful for my learning,,,,,,,
2022-04-11 08:45:12,2022-04-11 08:47:41,Survey Preview,,100,149,True,2022-04-11 08:47:42,R_3emCu9byQHbxFnw,,,,,43.5885009765625,-116.191802978515625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-20 06:03:37,2022-04-20 06:07:35,Survey Preview,,100,238,True,2022-04-20 06:07:36,R_3hEnw6HS0XxVodf,,,,,51.3688,12.3311,preview,EN,PhD student,,2018,"PhD Ecology, Evolution, & Behavior",,Private non-profit organization,,Extremely important,"Data management,Regression analyses,Machine learning,Data simulation,Individual or agent-based models/computer simulation",Competent at a professional level (ready to enter the job market),Competent at a professional level (ready to enter the job market),Some entry level experience,Moderate experience but more training required,,Moderate experience but more training required,,,"Abundance or occurrence of species or events,Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,2,1,6,5,4,7,3,8,,,"R,STAN,Julia,Google Earth Engine",,Expert,,Moderate experience but more training required,,,,Some entry level experience,,,,Some entry level experience,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Weeklong ‘bootcamps’ provided by faculty","STAN,NIMBLE,ArcGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps","R Users' Group,Stats Hour,1:1 R help sessions provided by the Biology department",,,,,I personally do not find this type of resource helpful for my learning,,I forget,,,,,,,
2022-04-25 07:11:39,2022-04-25 07:16:21,IP Address,75.174.188.196,100,282,True,2022-04-25 07:16:21,R_3gZN1QQCfbWTovG,,,,,43.6349,-116.2023,anonymous,EN,Masters student,,2020,MS Biology,,"Private non-profit organization,Academia - primarily research,Government",,Moderately important,"Data management,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Competent at a professional level (ready to enter the job market),,,,,,,,"Abundance or occurrence of species or events,Efficacy of interventions/treatments (through controlled or natural experiments),Latent categorical or clustering variables (i.e. survey response)",,2,7,3,4,1,6,5,8,9,,R,,Moderate experience but more training required,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,QGIS,Google Earth Engine",,"Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",R Users' Group,,,"It is at a difficult time for me to attend,I forget",,I am not comfortable posting in this channel,,I do not know what this resource is,,I do not know what this resource is,,"It is at a difficult time for me to attend,I do not know what this resource is",,,
2022-04-25 07:59:55,2022-04-25 08:04:35,IP Address,75.174.210.93,100,279,True,2022-04-25 08:04:35,R_1H6mEPvlnriGCzL,,,,,43.6349,-116.2023,anonymous,EN,PhD student,,2021,"PhD Ecology, Evolution, & Behavior",,"Private non-profit organization,Academia -  primarily teaching,Government",,Moderately important,"Data management,Regression analyses,Machine learning,Data simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,No experience,Some entry level experience,,,,,"Abundance or occurrence of species or events,Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,1,6,5,2,3,8,4,7,9,,"R,QGIS",,Moderate experience but more training required,,,,,,,,,Some entry level experience,,"Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own),Student-led workshops","R,STAN",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources","R Users' Group,EcoStatsBSU Slack channel",,,I personally do not find this type of resource helpful for my learning,,,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I forget,,I am not comfortable scheduling/attending these sessions,,,
2022-04-25 07:36:44,2022-04-25 08:11:09,IP Address,160.2.143.128,100,2064,True,2022-04-25 08:11:09,R_21v5TATpBG3JnRZ,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2019,"PhD Ecology, Evolution, & Behavior",,"Academia - primarily research,Academia -  primarily teaching,Government",,Very important,"Data management,Regression analyses,Data simulation,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Competent at a professional level (ready to enter the job market),Moderate experience but more training required,,Some entry level experience,,,,Moderate experience but more training required,Latent categorical or clustering variables (i.e. survey response),,6,5,4,2,1,7,3,8,9,,"R,Python,ArcGIS",,Competent at a professional level,Some entry level experience,,,,,,,Moderate experience but more training required,,,"Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,Python,STAN,ArcGIS,QGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps",R Users' Group,,,I forget,,,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I do not know what this resource is,,It is at a difficult time for me to attend,,"I appreciate the community-based support available and plan to use it more now that I am getting further into my data analysis. I also appreciate that there are additional opportunities to strengthen skills through independent studies, reading groups (both formal and informal), and special topics course offerings.",
2022-04-25 08:02:33,2022-04-25 08:11:43,IP Address,75.174.124.109,100,549,True,2022-04-25 08:11:43,R_3dWFEOQXDYOZami,,,,,43.6339,-116.2942,anonymous,EN,PhD student,,2021,PhD Geophysics,,Government,,Extremely important,"Data management,Regression analyses,Machine learning,Data simulation,Process models (e.g. hydrologic modeling, fire spread),Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Some entry level experience,Moderate experience but more training required,Moderate experience but more training required,Moderate experience but more training required,,,,,,2,8,7,6,1,5,3,4,9,,"Python,QGIS,Google Earth Engine,Other (please specify)",MATLAB,,Moderate experience but more training required,,,,,,,,Moderate experience but more training required,Moderate experience but more training required,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","Python,QGIS,Google Earth Engine",,Taking advantage of high-performance computing resources,,I personally do not find this type of resource helpful for my learning,,I do not know what this resource is,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I do not know what this resource is",,I do not know what this resource is,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I personally do not find this type of resource helpful for my learning",,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I do not know what this resource is",,Coding is generally implemented into coursework and faculty provide resources for workshops off-campus,"Nearly all coursework coding is conducted in MATLAB, which I am trying to move away from, as it is not free and accessible to the public. Using Python in the geosciences would better prepare me for my career"
2022-04-25 07:54:23,2022-04-25 08:25:19,IP Address,75.174.194.172,100,1855,True,2022-04-25 08:25:19,R_2qyJc5WeSl63iYX,,,,,43.5784,-116.2179,anonymous,EN,Masters student,,2021,MS Raptor Biology,,Private non-profit organization,,Extremely important,"Data management,Regression analyses,Machine learning,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,Some entry level experience,,,,,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Spatial (or temporal) autocorrelation in the predictors or response",,2,7,4,3,1,8,5,6,9,,"R,ArcGIS",,Moderate experience but more training required,,,,,,,,Some entry level experience,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty","R,ArcGIS,QGIS,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps","Stats Hour,EcoStatsBSU Slack channel",I forget,,,,,,I do not know what this resource is,,Some other reason (please specify),"In thinking about it more, if this means getting help from a professor or TA then I have done this",I do not know what this resource is,,"The resources feel very collaborative and people seem genuinely interested in helping. It is apparent that there are multiple resources to go to, and that asking questions or for help is encouraged.","I think being somewhat new to complex stats and coding, I don't always know what skills I am missing out on, so that is where I think something like a workshop or bootcamp could be useful with very targeted topics/skill development. "
